Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen_Section__c,nFORCE__Display_Order__c,nFORCE__Field_Set_Key__c,nFORCE__Layout__c,nFORCE__Parent_Configuration__c,nFORCE__Parent_Relationship_Name__c,nFORCE__Section_Header__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nFORCE__Filter_Criteria__c,nFORCE__Limit__c,nFORCE__Offset_By_Limit__c,nFORCE__Sort_Criteria__c,nFORCE__Unique__c,AutorabitExtId__c
"a354T000000cJuUQAU","","SC-000003347","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjVQAW","1.01","Loan_Summary_Top_Bar","","","","","42472006181461625","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cJx9QAE","","SC-000003749","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHmLQAW","1.01","LLC_BI__Counterparty_Report","","","","","42590931977034502","Account","","","false","","false",""
"a354T000000cJxBQAU","","SC-000003751","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHmMQAW","1.01","","","","","Authorized Users","42296245644190491","LLC_BI__Treasury_Service__c","","","false","","false",""
"a354T000000cJxCQAU","","SC-000003752","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHmNQAW","1.01","","","","","Analyzed Accounts","42954235370960753","LLC_BI__Treasury_Service__c","","","false","","false",""
"a354T000000cJxDQAU","","SC-000003753","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHmOQAW","1.01","LLC_BI__Maintenance_Request_Orders","","","","Add to Maintenance Order","42601514009415014","LLC_BI__Requirement__c","","","false","","false",""
"a354T000000cJxEQAU","","SC-000003754","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHmPQAW","1.01","LLC_BI__Treasury_Maintenance_Add_Authorized_User","","","","Add Authorized User","42581618957827055","LLC_BI__Authorized_User__c","","","false","","false",""
"a354T000000cJxFQAU","","SC-000003755","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHmQQAW","1.01","LLC_BI__Treasury_Maint_Add_Analyzed_Account","","","","Add Analyzed Account","42398248399853385","LLC_BI__Analyzed_Account__c","","","false","","false",""
"a354T000000cJxGQAU","","SC-000003756","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHmMQAW","2.01","llc_bi__UI_TSM_Authorized_User_Search","","a354T000000cJxBQAU","LLC_BI__Authorized_Users__r","Authorized Users","42817405365340225","LLC_BI__Authorized_User__c","","","false","","false",""
"a354T000000cJxHQAU","","SC-000003757","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHmNQAW","2.01","llc_bi__UI_TSM_Analyzed_Account_Search","","a354T000000cJxCQAU","LLC_BI__Analyzed_Accounts__r","Analyzed Accounts","42536925373809694","LLC_BI__Analyzed_Account__c","","","false","","false",""
"a354T000000cK6IQAU","","SC-000004848","2019-09-09T15:17:11.000Z","0054T0000012R1qQAE","2019-09-09T15:17:11.000Z","0054T0000012R1qQAE","","a334T000000PHrIQAW","100.0","nFORCE__UI_Config_Builder_Group_Topbar_Config","","","","","42234943656261204","nFORCE__Group__c","","","false","","false",""
