Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Group__c,nFORCE__Is_Hidden__c,nFORCE__Order__c,nFORCE__Parent_Route__c,nFORCE__Route__c,nFORCE__lookupKey__c,nFORCE__Has_Visibility_Criteria__c,nFORCE__Is_Default_Context_Child__c,nFORCE__Is_Forward_Navigation_Disabled__c,nFORCE__Question_Group__c,nFORCE__Visibility_Criteria__c,nFORCE__Conditional_Display_Criteria__c,nPortal__Is_Portal_Enabled__c,Route_App__c,nFORCE__Orchestration_Step__c,AutorabitExtId__c,Rabit_Text__c
"a3f4T000000PwQuQAK","0054T000000ZZW7QAO","","9317","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","1300.0","","a324T000000QN5fQAG","19961575395414716","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004btmEAA",""
"a3f4T000000PwQvQAK","0054T000000ZZW7QAO","","9318","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","1310.0","a324T000000QN5fQAG","a324T000000QN5fQAG","95821575395414716","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004btnEAA",""
"a3f4T000000PwQwQAK","0054T000000ZZW7QAO","","9319","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","6500.0","","a324T000000QN5cQAG","47511575395414719","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004btxEAA",""
"a3f4T000000PwQxQAK","0054T000000ZZW7QAO","","9320","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","6510.0","a324T000000QN5cQAG","a324T000000QN5cQAG","75671575395414719","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004btyEAA",""
"a3f4T000000PwQyQAK","0054T000000ZZW7QAO","","9321","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","1700.0","","a324T000000QN5tQAG","48591575395414720","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004bu1EAA",""
"a3f4T000000PwQzQAK","0054T000000ZZW7QAO","","9322","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","1710.0","a324T000000QN5tQAG","a324T000000QN5tQAG","13091575395414721","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004bu3EAA",""
"a3f4T000000PwR0QAK","0054T000000ZZW7QAO","","9323","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","16500.0","","a324T000000QN5uQAG","30291575395414724","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004buCEAQ",""
"a3f4T000000PwR1QAK","0054T000000ZZW7QAO","","9324","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","5000.0","","a324T000000QN5eQAG","04871575395414724","false","false","false","","","","false","","","a2D6g0000004buDEAQ",""
"a3f4T000000PwR2QAK","0054T000000ZZW7QAO","","9325","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","5010.0","a324T000000QN5eQAG","a324T000000QN5eQAG","92611575395414724","false","false","false","","","","false","","","a2D6g0000004buEEAQ",""
"a3f4T000000PwR3QAK","0054T000000ZZW7QAO","","9326","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","7000.0","","a324T000000QN5bQAG","87191575395414725","false","false","false","","","","false","","","a2D6g0000004buFEAQ",""
