Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen__c,nFORCE__Break_Page_After__c,nFORCE__Break_Page_Before__c,nFORCE__Default_Editable__c,nFORCE__Default_Rendered__c,nFORCE__Disable_Print__c,nFORCE__Display_Order__c,nFORCE__Display_Toggle_Effect__c,nFORCE__Display_Toggle_Header__c,nFORCE__Display_Toggle_Link__c,nFORCE__Headless__c,nFORCE__Inactive__c,nFORCE__Instructions_Text__c,nFORCE__Is_Editable__c,nFORCE__Layout__c,nFORCE__Screen_View__c,nFORCE__Section_Resource__c,nFORCE__Widget__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nPortal__Portal_Header_Text__c,nFORCE__Conditional_Display_Criteria__c,nFORCE__Parent_Screen_Section__c,nPortal__Portal_Subheader_Text__c,nFORCE__Number_of_Columns__c,nFORCE__Are_Columns_Sortable__c,nFORCE__Auto_Save__c,nFORCE__Validation_Service__c,AutorabitExtId__c
"a334T000000PXOrQAO","","Authorized Signers","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNoaQAG","false","false","false","false","false","1.0","slide","true","false","false","false","","false","","","GrandchildScreenResource","","24301575395465690","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008pduEAA"
"a334T000000PXOsQAO","","Borrowing Structure","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNoaQAG","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","72201575395465690","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008pdvEAA"
"a334T000000PXOtQAO","","Collateral Pledged","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNobQAG","false","false","false","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","71241575395465693","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008pe3EAA"
"a334T000000PXOuQAO","","Fees Approved","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNocQAG","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","79421575395465693","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008pe5EAA"
"a334T000000PXOvQAO","","Third Party Reports","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNoeQAG","false","false","false","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","94981575395465694","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008pe7EAA"
"a334T000000PXOwQAO","","Approval Details","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNofQAG","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","72601575395465695","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008pe8EAA"
"a334T000000PXOxQAO","","Adverse Actions","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNogQAG","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","18121575395465695","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peAEAQ"
"a334T000000PXOyQAO","","Fees","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNohQAG","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","79191575395465695","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peBEAQ"
"a334T000000PXOzQAO","","Loan Team Members","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNoiQAG","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","94571575395465696","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peDEAQ"
"a334T000000PXP0QAO","","Memos","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNojQAG","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","87021575395465696","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peEEAQ"
"a334T000000PXP1QAO","","Participations","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNokQAG","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","17011575395465696","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peFEAQ"
"a334T000000PXP2QAO","","Risk Ratings","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNolQAG","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","87111575395465697","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peGEAQ"
"a334T000000PXP3QAO","","Stage History","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNomQAG","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","91381575395465697","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peHEAQ"
"a334T000000PXP4QAO","","Action Taken","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNonQAG","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","97831575395465698","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peKEAQ"
"a334T000000PXP5QAO","","Loan Information","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNonQAG","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","28711575395465698","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peLEAQ"
"a334T000000PXP6QAO","","Other","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNonQAG","false","false","true","true","false","3.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","02941575395465699","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peMEAQ"
"a334T000000PXP7QAO","","Property Location","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNonQAG","false","false","true","true","false","2.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","34841575395465699","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peNEAQ"
"a334T000000PXP8QAO","","Approval History","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNooQAG","false","false","true","true","false","2.0","slide","true","false","false","true","","true","","","MappedSObjectScreenResource","a374T000000PVv5QAG","19951575395465699","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peOEAQ"
"a334T000000PXP9QAO","","Loan Details","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNooQAG","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","30911575395465700","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008pePEAQ"
"a334T000000PXPAQA4","","Tasks","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNooQAG","false","false","false","true","false","1.0","slide","true","false","false","true","","true","","","MappedSObjectHierarchyScreenResource","","55501575395465700","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peQEAQ"
"a334T000000PXPBQA4","","Loan Details","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNopQAG","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","38481575395465701","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008peWEAQ"
"a334T000000PXPCQA4","","Booked Details","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNoqQAG","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","84711575395465704","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008pegEAA"
"a334T000000PXPDQA4","","Memos","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","2019-12-06T14:31:04.000Z","0054T000000ZZW7QAO","","a344T000000PNorQAG","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","87871575395465704","LLC_BI__Loan__c","","","","","","false","false","","a2F6g0000008pehEAA"
