Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen_Section__c,nFORCE__Display_Order__c,nFORCE__Field_Set_Key__c,nFORCE__Layout__c,nFORCE__Parent_Configuration__c,nFORCE__Parent_Relationship_Name__c,nFORCE__Section_Header__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nFORCE__Filter_Criteria__c,nFORCE__Limit__c,nFORCE__Offset_By_Limit__c,nFORCE__Sort_Criteria__c,nFORCE__Unique__c,AutorabitExtId__c
"a354T000000dPuLQAU","","SC-000007861","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXOrQAO","1.01","","","","","","54591575395466376","LLC_BI__Loan__c","","0.0","false","","false","a2H6g000000Hc8vEAC"
"a354T000000dPuMQAU","","SC-000007862","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXOrQAO","2.02","","","a354T000000dPuLQAU","LLC_BI__Legal_Entities__r","","28571575395466376","LLC_BI__Legal_Entities__c","","0.0","false","","false","a2H6g000000Hc8wEAC"
"a354T000000dPuNQAU","","SC-000007863","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXOrQAO","3.02","LLC_BI__UI_Authorized_Signer_Fieldset","","a354T000000dPuMQAU","LLC_BI__Contingent_Liabilties__r","","00111575395466376","LLC_BI__Contingent_Liabilty__c","","0.0","false","","false","a2H6g000000Hc8xEAC"
"a354T000000dPuOQAU","","SC-000007864","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXP4QAO","0.0","LLC_BI__UI_CRA_Action_Taken","","","","Action Taken","05401575395466377","LLC_BI__Loan__c","","","false","","false","a2H6g000000Hc91EAC"
"a354T000000dPuPQAU","","SC-000007865","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXOxQAO","1.01","","","","","","62271575395466377","LLC_BI__Loan__c","","","false","","false","a2H6g000000Hc92EAC"
"a354T000000dPuQQAU","","SC-000007866","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXOxQAO","2.01","UI_Loan_Adverse_Action","","a354T000000dPuPQAU","LLC_BI__Adverse_Actions__r","","46311575395466377","LLC_BI__Adverse_Action__c","","","false","","false","a2H6g000000Hc93EAC"
"a354T000000dPuRQAU","","SC-000007867","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXOsQAO","1.01","","","","","Loan Relationship","46331575395466378","LLC_BI__Loan__c","","","false","","false","a2H6g000000Hc97EAC"
"a354T000000dPuSQAU","","SC-000007868","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXOsQAO","2.01","UI_Borrowing_Structure","","a354T000000dPuRQAU","LLC_BI__Legal_Entities__r","Borrowing Structure","32231575395466378","LLC_BI__Legal_Entities__c","","","false","","false","a2H6g000000Hc98EAC"
"a354T000000dPuTQAU","","SC-000007869","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXOyQAO","1.01","","","","","","11011575395466378","LLC_BI__Loan__c","","","false","","false","a2H6g000000Hc99EAC"
"a354T000000dPuUQAU","","SC-000007870","2019-12-06T14:32:46.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:50.000Z","0054T000000ZZW7QAO","","a334T000000PXOyQAO","2.01","UI_Loan_Fees","","a354T000000dPuTQAU","LLC_BI__Fees__r","","39331575395466378","LLC_BI__Fee__c","","","false","","false","a2H6g000000Hc9AEAS"
