Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen_Section__c,nFORCE__Display_Order__c,nFORCE__Field_Set_Key__c,nFORCE__Layout__c,nFORCE__Parent_Configuration__c,nFORCE__Parent_Relationship_Name__c,nFORCE__Section_Header__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nFORCE__Filter_Criteria__c,nFORCE__Limit__c,nFORCE__Offset_By_Limit__c,nFORCE__Sort_Criteria__c,nFORCE__Unique__c,AutorabitExtId__c
"a354T000000cKFlQAM","","SC-000001938","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHweQAG","1.01","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5WQAS","","","","17238862930314709","LLC_BI__Review__c","","","false","","false",""
"a354T000000cKFmQAM","","SC-000001939","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwfQAG","1.01","","a314T000000Xm5XQAS","","","","53473659722342951","LLC_BI__Review__c","","","false","","false",""
"a354T000000cKFnQAM","","SC-000001940","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwfQAG","2.01","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5YQAS","a354T000000cKFmQAM","LLC_BI__Account__r","","95891085464476464","Account","","","false","","false",""
"a354T000000cKFoQAM","","SC-000001941","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwhQAG","1.01","","a314T000000Xm5ZQAS","","","","30622951454208125","LLC_BI__Review__c","","","false","","false",""
"a354T000000cKFpQAM","","SC-000001942","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwhQAG","2.01","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5aQAC","a354T000000cKFoQAM","LLC_BI__Product_Package__r","","88210532493038522","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKFqQAM","","SC-000001943","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwjQAG","1.01","","a314T000000Xm5bQAC","","","","83497307865584017","LLC_BI__Review__c","","","false","","false",""
"a354T000000cKFrQAM","","SC-000001944","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwjQAG","2.01","","a314T000000Xm5cQAC","a354T000000cKFqQAM","LLC_BI__Product_Package__r","","97013444436930335","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKFsQAM","","SC-000001945","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwjQAG","3.01","Credit_Memo_Standard_Review","a314T000000Xm5dQAC","a354T000000cKFrQAM","LLC_BI__Loan_Facilities__r","","63020634804909888","LLC_BI__Loan__c","","","false","","false",""
"a354T000000cKFtQAM","","SC-000001946","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwjQAG","4.01","","a314T000000Xm5eQAC","a354T000000cKFsQAM","LLC_BI__Legal_Entities__r","","12146367203473438","LLC_BI__Legal_Entities__c","","","false","","false",""
"a354T000000cKFuQAM","","SC-000001947","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwjQAG","5.01","Credit_Memo_Standard_Review_Acct_Related","a314T000000Xm5fQAC","a354T000000cKFtQAM","LLC_BI__Account__r","","96416424797470875","Account","","","false","","false",""
"a354T000000cKFvQAM","","SC-000001948","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwkQAG","1.01","","a314T000000Xm5gQAC","","","","72794609897892098","LLC_BI__Review__c","","","false","","false",""
"a354T000000cKFwQAM","","SC-000001949","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwkQAG","2.01","","a314T000000Xm5hQAC","a354T000000cKFvQAM","LLC_BI__Product_Package__r","","67346436735979686","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKFxQAM","","SC-000001950","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwkQAG","3.01","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5iQAC","a354T000000cKFwQAM","LLC_BI__Loan_Facilities__r","Loan Details","13174431755786864","LLC_BI__Loan__c","","","false","","false",""
"a354T000000cKFyQAM","","SC-000001951","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwkQAG","4.01","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5jQAC","a354T000000cKFxQAM","LLC_BI__Legal_Entities__r","Borrower Structure","13650308926435954","LLC_BI__Legal_Entities__c","","","false","","false",""
"a354T000000cKFzQAM","","SC-000001952","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwkQAG","4.02","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5kQAC","a354T000000cKFxQAM","LLC_BI__Fees__r","Fees","47461407392470099","LLC_BI__Fee__c","","","false","","false",""
"a354T000000cKG0QAM","","SC-000001953","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwkQAG","4.03","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5lQAC","a354T000000cKFxQAM","LLC_BI__Policy_Exceptions__r","Policy Exceptions","39824833947636601","LLC_BI__Policy_Exception__c","","","false","","false",""
"a354T000000cKG1QAM","","SC-000001954","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwkQAG","4.04","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5mQAC","a354T000000cKFxQAM","LLC_BI__Third_Party_Reports__r","Third Party Reports","26669713013149230","LLC_BI__third_party_report__c","","","false","","false",""
"a354T000000cKG2QAM","","SC-000001955","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwkQAG","4.05","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5nQAC","a354T000000cKFxQAM","LLC_BI__Participations__r","Participations","39505759566097296","LLC_BI__Participation__c","","","false","","false",""
"a354T000000cKG3QAM","","SC-000001956","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwlQAG","1.01","","a314T000000Xm5oQAC","","","","29099737180779904","LLC_BI__Review__c","","","false","","false",""
"a354T000000cKG4QAM","","SC-000001957","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwlQAG","2.01","","a314T000000Xm5pQAC","a354T000000cKG3QAM","LLC_BI__Product_Package__r","","13727038739312046","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKG5QAM","","SC-000001958","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwlQAG","3.01","Credit_Memo_Standard_Review","a314T000000Xm5qQAC","a354T000000cKG4QAM","LLC_BI__Loan_Facilities__r","","50454787946236137","LLC_BI__Loan__c","","","false","","false",""
"a354T000000cKG6QAM","","SC-000001959","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwlQAG","4.01","","a314T000000Xm5rQAC","a354T000000cKG5QAM","LLC_BI__Loan_Collateral__r","","68861034395712272","LLC_BI__Loan_Collateral2__c","","","false","","false",""
"a354T000000cKG7QAM","","SC-000001960","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwlQAG","5.01","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5sQAC","a354T000000cKG6QAM","LLC_BI__Collateral__r","Collateral Details","43992080478770901","LLC_BI__Collateral__c","","","false","","false",""
"a354T000000cKG8QAM","","SC-000001961","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwlQAG","6.01","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5tQAC","a354T000000cKG7QAM","LLC_BI__Account_Collateral__r","Ownership","51690825913769627","LLC_BI__Account_Collateral__c","","","false","","false",""
"a354T000000cKG9QAM","","SC-000001962","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwlQAG","6.02","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5uQAC","a354T000000cKG7QAM","LLC_BI__Loan_Collateral2__r","Loans","82422847856845420","LLC_BI__Loan_Collateral2__c","","","false","","false",""
"a354T000000cKGAQA2","","SC-000001963","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwlQAG","6.03","Credit_Memo_Standard_Review_Product_Pack","a314T000000Xm5vQAC","a354T000000cKG7QAM","LLC_BI__Liens__r","Liens","81269685902952444","LLC_BI__Lien__c","","","false","","false",""
"a354T000000cKGBQA2","","SC-000001964","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwnQAG","1.01","","a314T000000Xm5wQAC","","","","8216430592323503","LLC_BI__Review__c","","","false","","false",""
"a354T000000cKGCQA2","","SC-000001965","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwnQAG","2.01","","a314T000000Xm5xQAC","a354T000000cKGBQA2","LLC_BI__Product_Package__r","","44230449257905292","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKGDQA2","","SC-000001966","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwnQAG","3.01","Credit_Memo_Standard_Review","a314T000000Xm5yQAC","a354T000000cKGCQA2","LLC_BI__Loan_Facilities__r","","8852829287547930","LLC_BI__Loan__c","","","false","","false",""
"a354T000000cKGEQA2","","SC-000001967","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHwnQAG","4.01","","a314T000000Xm5zQAC","a354T000000cKGDQA2","LLC_BI__Loan_Covenants__r","","34369722825339489","LLC_BI__Loan_Covenant__c","","","false","","false",""
