Id,OwnerId,IsDeleted,Name,RecordTypeId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,nFORCE__App__c,nFORCE__lookupKey__c,nFORCE__Is_Archived__c,nFORCE__Is_Questionnaire__c,nPortal__Is_Portal_Enabled__c,nFORCE__Parent_Group__c,nFORCE__Screen__c,nPortal__Context_Type__c,nFORCE__Category__c,nFORCE__Layout__c,nFORCE__Answer_Context__c,AutorabitExtId__c
"a2K4T00000001tBUAQ","0054T000000ZYm5QAG","","CRA","","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","42587259055558994","false","true","false","","","","","","",""
"a2K4T00000001tCUAQ","0054T000000ZYm5QAG","","Memo","","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","memo","42153836587911189","false","false","false","","","","","","",""
"a2K4T00000001tDUAQ","0054T000000ZYm5QAG","","Product Package Details","","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","pp-details","42734655728085583","false","false","false","","a344T000000PEXrQAO","","","","",""
"a2K4T00000001tEUAQ","0054T000000ZYm5QAG","","Small Business Loan Application (Individual Other Involved)","","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","portal-sbl-ind-other","42013429032949018","false","false","true","","","Other Involved (Individual)","Online Application","","",""
"a2K4T00000001tFUAQ","0054T000000ZYm5QAG","","Deposit Application (Individual)","","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","portal-dep","42266423918684600","false","false","true","","","Applicant","Online Application","","",""
"a2K4T00000001tGUAQ","0054T000000ZYm5QAG","","Deposit Application (Business)","","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","portal-dep-bus","42292777134864522","false","false","true","","","Applicant","Online Application","","",""
"a2K4T00000001tHUAQ","0054T000000ZYm5QAG","","Deposit Application (Additional Owner)","","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","portal-dep-owner","42755043514807892","false","false","true","a2K4T00000001tGUAQ","","Owner","Online Application","","",""
"a2K4T00000001tIUAQ","0054T0000012R1IQAU","","Relationship","","2019-09-09T15:17:11.000Z","0054T0000012R1IQAU","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","relationship1","42209304130978970","false","false","false","","","","","","",""
"a2K4T00000001tJUAQ","0054T0000012R0bQAE","","Small Business Loan Workflow","","2019-09-09T15:17:11.000Z","0054T0000012R0bQAE","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","sbl-group1","42288239929686644","false","false","false","","","","","","",""
"a2K4T00000001tKUAQ","0054T0000012R0bQAE","","Unsecured Small Business Loan Workflow","","2019-09-09T15:17:11.000Z","0054T0000012R0bQAE","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","sbl-unsec-group1","42926721888755667","false","false","false","","","","","","",""
