Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Group__c,nFORCE__Is_Hidden__c,nFORCE__Order__c,nFORCE__Parent_Route__c,nFORCE__Route__c,nFORCE__lookupKey__c,nFORCE__Has_Visibility_Criteria__c,nFORCE__Is_Default_Context_Child__c,nFORCE__Is_Forward_Navigation_Disabled__c,nFORCE__Question_Group__c,nFORCE__Visibility_Criteria__c,nFORCE__Conditional_Display_Criteria__c,nPortal__Is_Portal_Enabled__c,Route_App__c,nFORCE__Orchestration_Step__c,AutorabitExtId__c,Rabit_Text__c
"a3f4T000000PGjSQAW","0054T0000012R2RQAU","","3807","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uTUAQ","true","45.0","","a324T000000PWHhQAO","42670198943178695","false","false","false","","","","false","","","",""
"a3f4T000000PGjTQAW","0054T0000012R2RQAU","","3808","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uTUAQ","false","1.0","a324T000000PWHhQAO","a324T000000PWHiQAO","42074507678464464","false","true","true","","","","false","","","",""
"a3f4T000000PGjUQAW","0054T0000012R2RQAU","","3809","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uTUAQ","false","10.0","a324T000000PWHhQAO","a324T000000PWHjQAO","42269478938161304","false","false","true","","","","false","","","",""
"a3f4T000000PGjVQAW","0054T0000012R2RQAU","","3810","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uTUAQ","false","20.0","a324T000000PWHhQAO","a324T000000PWHkQAO","42865423961869430","false","false","true","","","","false","","","",""
"a3f4T000000PGjWQAW","0054T0000012R2RQAU","","3811","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uUUAQ","true","45.0","","a324T000000PWHhQAO","42201620665814263","false","false","false","","","","false","","","",""
"a3f4T000000PGjXQAW","0054T0000012R2RQAU","","3812","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uUUAQ","false","1.0","a324T000000PWHhQAO","a324T000000PWHiQAO","42442161416253215","false","true","true","","","","false","","","",""
"a3f4T000000PGjYQAW","0054T0000012R2RQAU","","3813","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uUUAQ","false","10.0","a324T000000PWHhQAO","a324T000000PWHjQAO","42659757800674515","false","false","true","","","","false","","","",""
"a3f4T000000PGjZQAW","0054T0000012R2RQAU","","3814","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uUUAQ","false","20.0","a324T000000PWHhQAO","a324T000000PWHkQAO","42726022622092166","false","false","true","","","","false","","","",""
"a3f4T000000PGjaQAG","0054T0000012R2RQAU","","3815","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uVUAQ","true","45.0","","a324T000000PWHhQAO","42535295526682556","false","false","false","","","","false","","","",""
"a3f4T000000PGjbQAG","0054T0000012R2RQAU","","3816","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","2019-09-09T15:17:11.000Z","0054T0000012R2RQAU","","a2K4T00000001uVUAQ","false","1.0","a324T000000PWHhQAO","a324T000000PWHiQAO","42425764528712197","false","true","true","","","","false","","","",""
