Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Agreement_Text__c,nFORCE__Document__c,nFORCE__Route__c,nFORCE__lookupKey__c,nFORCE__Conditional_Display_Criteria__c,nFORCE__Review_And_Accept_Document__c
"a0O4T000000TdfFUAS","0054T000000ZYm5QAG","","Terms and Conditions","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dar","a324T000000PWJDQA4","a5o4T000000g4KHQAY","","true"
"a0O4T000000TdfGUAS","0054T000000ZYm5QAG","","Privacy Policy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I have read this {0} and agree to its terms.","0154T0000008Das","a324T000000PWJDQA4","a5o4T000000g4KIQAY","","false"
"a0O4T000000TdfHUAS","0054T000000ZYm5QAG","","Terms and Disclosures","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dat","a324T000000PWCJQA4","","","false"
"a0O4T000000TdfIUAS","0054T000000ZYm5QAG","","Terms and Disclosures","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dat","a324T000000PWCBQA4","","","false"
"a0O4T000000TdfJUAS","0054T000000ZYm5QAG","","Terms and Disclosures","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dat","a324T000000PWC3QAO","","","false"
"a0O4T000000TdfKUAS","0054T000000ZYm5QAG","","Terms and Disclosures","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dat","a324T000000PWBsQAO","","","false"
"a0O4T000000TdfLUAS","0054T000000ZYm5QAG","","Terms and Conditions","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dar","a324T000000PWA6QAO","","","true"
"a0O4T000000TdfMUAS","0054T000000ZYm5QAG","","Privacy Policy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I have read this {0} and agree to its terms.","0154T0000008Das","a324T000000PWA6QAO","","","false"
"a0O4T000000TdfNUAS","0054T000000ZYm5QAG","","Privacy Policy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I have read this {0} and agree to its terms.","0154T0000008Das","a324T000000PWAFQA4","","","false"
"a0O4T000000TdfOUAS","0054T000000ZYm5QAG","","Privacy Policy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I have read this {0} and agree to its terms.","0154T0000008Das","a324T000000PWAKQA4","","","false"
"a0O4T000000TdfPUAS","0054T000000ZYm5QAG","","Terms and Conditions","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dar","a324T000000PWAKQA4","","","true"
"a0O4T000000TdfQUAS","0054T000000ZYm5QAG","","Terms and Conditions","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dar","a324T000000PWAFQA4","","","true"
"a0O4T000000TdfRUAS","0054T000000ZYm5QAG","","Terms and Conditons","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dar","a324T000000PWA1QAO","","","true"
"a0O4T000000TdfSUAS","0054T000000ZYm5QAG","","Privacy Policy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I have read this {0} and agree to its terms.","0154T0000008Das","a324T000000PWA1QAO","","","false"
"a0O4T000000TdfTUAS","0054T000000ZYm5QAG","","Terms and Conditons","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dar","a324T000000PWDiQAO","","","true"
"a0O4T000000TdfUUAS","0054T000000ZYm5QAG","","Privacy Policy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I have read this {0} and agree to its terms.","0154T0000008Das","a324T000000PWDiQAO","","","false"
"a0O4T000000TdfVUAS","0054T000000ZYm5QAG","","Terms and Conditons","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dar","a324T000000PWDdQAO","","","true"
"a0O4T000000TdfWUAS","0054T000000ZYm5QAG","","Privacy Policy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I have read this {0} and agree to its terms.","0154T0000008Das","a324T000000PWDdQAO","","","false"
"a0O4T000000TdfXUAS","0054T000000ZYm5QAG","","Terms and Conditons","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dar","a324T000000PWDxQAO","","","true"
"a0O4T000000TdfYUAS","0054T000000ZYm5QAG","","Privacy Policy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I have read this {0} and agree to its terms.","0154T0000008Das","a324T000000PWDxQAO","","","false"
"a0O4T000000TdfZUAS","0054T000000ZYm5QAG","","Terms and Conditons","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I acknowledge and agree to these {0}.","0154T0000008Dar","a324T000000PWDsQAO","","","true"
"a0O4T000000TdfaUAC","0054T000000ZYm5QAG","","Privacy Policy","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","I have read this {0} and agree to its terms.","0154T0000008Das","a324T000000PWDsQAO","","","false"
"a0O4T000000UqnXUAS","0054T000000ZZW7QAO","","Sample Route Terms","2019-12-02T14:51:00.000Z","0054T000000ZZW7QAO","2019-12-02T14:51:00.000Z","0054T000000ZZW7QAO","","","Sample Route Terms","a324T000000PW9HQAW","","","false"
"a0O4T000000UqncUAC","0054T000000ZZW7QAO","","Sample Route Terms1","2019-12-02T14:51:18.000Z","0054T000000ZZW7QAO","2019-12-02T14:51:18.000Z","0054T000000ZZW7QAO","","","Sample Route","a324T000000PW9HQAW","","","false"
