Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,nFORCE__App__c,nFORCE__Body__c,nFORCE__Group__c,nFORCE__Icon_Class__c,nFORCE__Is_Hidden__c,nFORCE__Navigation__c,nFORCE__Order__c,nFORCE__Parent_App__c,nFORCE__Screen__c,nFORCE__Toolbar__c,nFORCE__Sub_Navigation__c,nFORCE__Topbar__c,nFORCE__lookupKey__c,nFORCE__Parameters__c,nPortal__Portal_Header_Text__c,nPortal__Portal_Icon_Path__c,nPortal__Portal_Subheader_Text__c,nPortal__Search_Object_Filter__c,nPortal__Search_Object_Type__c,nPortal__Search_Results_Fieldset__c,nPortal__Search_Select_Active_Text__c,nPortal__Search_Select_Text__c,AutorabitExtId__c
"a324T000000PW9DQAW","0054T000000ZYm5QAG","","CRA","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","CRA-kyc","llc_bi__Questionnaire_Loan_App","","","false","nforce__navigation","","","","","nforce__sub_navigation","nforce__topbar","42903309819265298","","","","","","","","","",""
"a324T000000PW9EQAW","0054T0000012R1qQAE","","System Properties","2019-09-09T15:17:11.000Z","0054T0000012R1qQAE","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","tool-system-property-editor","nforce__system_property_editor_app","","n-icon-settings","false","nforce__navigation","","","a344T000000PEZ9QAO","","nforce__sub_navigation","nforce__topbar","42727376383892682","","","","","","","","","",""
"a324T000000PW9FQAW","0054T0000012R1qQAE","","Rule Engine User Context","2019-09-09T15:17:11.000Z","0054T0000012R1qQAE","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","ruleengineoauth2","nforce__ruleenginecommunicationprovider","","","false","nforce__navigation","","","","","nforce__sub_navigation","nforce__topbar","42650959805371932","","","","","","","","","",""
"a324T000000PW9GQAW","0054T0000012R1pQAE","","Product Package","2019-09-09T15:17:11.000Z","0054T0000012R1pQAE","2019-09-09T15:17:11.000Z","0054T0000012R1pQAE","","","","unidoc-LLC_BI__Product_Package__c","ndoc__universaldocmanconfiguration","","","false","nforce__navigation","6.0","","","","nforce__sub_navigation","nforce__topbar","42228344142756840","","","","","","","","","",""
"a324T000000PW9HQAW","0054T000000ZYm5QAG","","Treasury / Ancillary Services","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","relationship-ancillary-and-treasury-services","nforce__blank","","","false","nforce__inline_navigation","","","","","nforce__sub_navigation","nforce__blank","42251837286501592","","","","","","","","","",""
"a324T000000PW9JQAW","0054T000000ZYm5QAG","","Collateral","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","collateral-2-management","Collateral_2_Management","","n-icon-collateral","false","nforce__navigation","","","a344T000000PEZAQA4","","nforce__sub_navigation","nforce__topbar","42040417807404941","","","","","","","","","",""
"a324T000000PW9KQAW","0054T000000ZYm5QAG","","HMDA Entity Compliance 2017","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","hmda-entity-compliance-2017","llc_bi__hmda_entity_compliance","","n-icon-hmda","false","nforce__navigation","","","a344T000000PEZBQA4","","nforce__sub_navigation","nforce__topbar","42509648334507989","","","","","","","","","",""
"a324T000000PW9LQAW","0054T000000ZYm5QAG","","HMDA Loan Compliance 2017","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","hmda-loan-compliance-2017","nforce__korelatedlist","","n-icon-hmda","false","nforce__navigation","","","a344T000000PEZCQA4","","nforce__sub_navigation","nforce__topbar","42858327684434866","","","","","","","","","",""
"a324T000000PW9MQAW","0054T000000ZYm5QAG","","HMDA Entity Compliance 2018","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","hmda-entity-compliance-2018","llc_bi__hmda_entity_compliance","","n-icon-hmda","false","nforce__navigation","","","a344T000000PEZDQA4","","nforce__sub_navigation","nforce__topbar","42945082766110793","","","","","","","","","",""
"a324T000000PW9NQAW","0054T000000ZYm5QAG","","HMDA Loan Compliance 2018","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","hmda-loan-compliance-2018","nforce__korelatedlist","","n-icon-hmda","false","nforce__navigation","","","a344T000000PEZEQA4","","nforce__sub_navigation","nforce__topbar","42052634925734867","","","","","","","","","",""
"a324T000000PW9OQAW","0054T000000ZYm5QAG","","New Limit/Sub/Takedown","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","action-add-takedown","LLC_BI__LoanFacilityCreation","","n-icon-copy_loan","false","nforce__navigation","","","a344T000000PEXjQAO","","nforce__sub_navigation","nforce__topbar","42583769430596073","complex=1","","","","","","","","",""
"a324T000000PW9PQAW","0054T000000ZYm5QAG","","Pricing Options","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","pricing-options","llc_bi__pricing_app","","","false","nforce__navigation","","","","","nforce__sub_navigation","nforce__topbar","42062215201716684","","","","","","","","","",""
"a324T000000PW9QQAW","0054T000000ZYm5QAG","","Memo Details","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","memo-details","llc_bi__memo_details","","","false","nforce__navigation","","","a344T000000PEZFQA4","","nforce__sub_navigation","llc_bi__nctopbar","42218692157570590","","","","","","","","","",""
"a324T000000PW9RQAW","0054T000000ZYm5QAG","","Edit Memo","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","edit-memo","llc_bi__edit_memo","","","false","nforce__navigation","","","","","nforce__sub_navigation","llc_bi__nctopbar","42825613117398681","","","","","","","","","",""
"a324T000000PW9SQAW","0054T000000ZYm5QAG","","Product Package Details","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dashboard-pp-sn-details","llc_bi__leadconvert","","","false","nforce__navigation","","","","","nforce__sub_navigation","nforce__topbar","42540172953004800","","","","","","","","","",""
"a324T000000PW9TQAW","0054T000000ZYm5QAG","","Product Package Details","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-17T13:48:05.000Z","0054T000000ZYm5QAG","","","","pp-tn-loan-compliance","nFORCE__ncDataGrid","","","false","nforce__navigation","","","a344T000000PEZGQA4","","nforce__sub_navigation","nforce__topbar","42310650468115272","","","","","","","","","",""
"a324T000000PW9UQAW","0054T000000ZYm5QAG","","Loan Facilities","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","pp-sn-loan-facilities","llc_bi__leadconvert","","","false","nforce__navigation","","","","","nforce__sub_navigation","nforce__topbar","42511093174699913","","","","","","","","","",""
