Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen__c,nFORCE__Break_Page_After__c,nFORCE__Break_Page_Before__c,nFORCE__Default_Editable__c,nFORCE__Default_Rendered__c,nFORCE__Disable_Print__c,nFORCE__Display_Order__c,nFORCE__Display_Toggle_Effect__c,nFORCE__Display_Toggle_Header__c,nFORCE__Display_Toggle_Link__c,nFORCE__Headless__c,nFORCE__Inactive__c,nFORCE__Instructions_Text__c,nFORCE__Is_Editable__c,nFORCE__Layout__c,nFORCE__Screen_View__c,nFORCE__Section_Resource__c,nFORCE__Widget__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nPortal__Portal_Header_Text__c,nFORCE__Conditional_Display_Criteria__c,nFORCE__Parent_Screen_Section__c,nPortal__Portal_Subheader_Text__c,nFORCE__Number_of_Columns__c,nFORCE__Are_Columns_Sortable__c,nFORCE__Auto_Save__c,nFORCE__Validation_Service__c,AutorabitExtId__c
"a334T000000PHweQAG","","Review Details","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","a364T000000g5elQAA","MappedSObjectScreenResource","","","LLC_BI__Review__c","","","","","","false","false","",""
"a334T000000PHwfQAG","","Relationship Summary","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","20.0","slide","true","false","false","false","","false","","a364T000000g5emQAA","MappedSObjectHierarchyScreenResource","","","LLC_BI__Review__c","","","","","","false","false","",""
"a334T000000PHwgQAG","","Relationship Summary Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","21.0","slide","true","false","true","false","","false","","","SObjectScreenResource","a374T000000PEBgQAO","","LLC_BI__Review__c","","","","","","false","false","",""
"a334T000000PHwhQAG","","Product Package Details","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","a364T000000g5enQAA","MappedSObjectHierarchyScreenResource","","","LLC_BI__Review__c","","","","","","false","false","",""
"a334T000000PHwiQAG","","Product Package Details Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","31.0","slide","true","false","true","false","","false","","","SObjectScreenResource","a374T000000PEBhQAO","","LLC_BI__Review__c","","","","","","false","false","",""
"a334T000000PHwjQAG","","Related Relationships","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","40.0","slide","true","false","false","false","","false","","a364T000000g5eoQAA","MappedSObjectHierarchyScreenResource","","","LLC_BI__Review__c","","","","","","false","false","",""
"a334T000000PHwkQAG","","Loan Summary","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","50.0","slide","true","false","false","false","","false","","a364T000000g5epQAA","MappedSObjectHierarchyScreenResource","","","LLC_BI__Review__c","","","","","","false","false","",""
"a334T000000PHwlQAG","","Collateral Summary","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","60.0","slide","true","false","false","false","","false","","a364T000000g5eqQAA","MappedSObjectHierarchyScreenResource","","","LLC_BI__Review__c","","","","","","false","false","",""
"a334T000000PHwmQAG","","Collateral Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","61.0","slide","true","false","true","false","","false","","","SObjectScreenResource","a374T000000PEBiQAO","","LLC_BI__Review__c","","","","","","false","false","",""
"a334T000000PHwnQAG","","Covenant Summary","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXoQAO","false","false","false","false","false","70.0","slide","true","false","false","false","","false","","a364T000000g5erQAA","MappedSObjectHierarchyScreenResource","","","LLC_BI__Review__c","","","","","","false","false","",""
