Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen_Section__c,nFORCE__Display_Order__c,nFORCE__Field_Set_Key__c,nFORCE__Layout__c,nFORCE__Parent_Configuration__c,nFORCE__Parent_Relationship_Name__c,nFORCE__Section_Header__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nFORCE__Filter_Criteria__c,nFORCE__Limit__c,nFORCE__Offset_By_Limit__c,nFORCE__Sort_Criteria__c,nFORCE__Unique__c,AutorabitExtId__c
"a354T000000cKHXQA2","","SC-000002403","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjFQAW","1.01","","a314T000000Xm6jQAC","","","","42181690347730428","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKHYQA2","","SC-000002404","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjFQAW","2.01","Standard_Product_Package_Credit_Memo","a314T000000Xm6kQAC","a354T000000cKHXQA2","LLC_BI__Product_Package_Teams__r","","42281484422145790","LLC_BI__Product_Package_Team__c","","","false","","false",""
"a354T000000cKHZQA2","","SC-000002405","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjGQAW","1.01","","a314T000000Xm6lQAC","","","","42620614972125557","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKHaQAM","","SC-000002406","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjGQAW","2.01","Deal_Memo_RR","a314T000000Xm6mQAC","a354T000000cKHZQA2","LLC_BI__Entity_Involvements__r","","42127752236230757","LLC_BI__Legal_Entities__c","","","false","","false",""
"a354T000000cKHbQAM","","SC-000002407","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjIQAW","1.01","","a314T000000Xm6nQAC","","","","42567503339200514","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKHcQAM","","SC-000002408","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjIQAW","2.01","Deal_Memo_Borrower_Address","a314T000000Xm6oQAC","a354T000000cKHbQAM","LLC_BI__Account__r","","42429541795591741","Account","","","false","","false",""
"a354T000000cKHdQAM","","SC-000002409","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjJQAW","1.01","","a314T000000Xm6pQAC","","","","42726466856877269","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKHeQAM","","SC-000002410","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjJQAW","2.01","Deal_Memo_Business_Desc","a314T000000Xm6qQAC","a354T000000cKHdQAM","LLC_BI__Account__r","","42829294814427829","Account","","","false","","false",""
"a354T000000cKHfQAM","","SC-000002411","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjKQAW","1.01","","a314T000000Xm6rQAC","","","","42290404393308153","LLC_BI__Product_Package__c","","","false","","false",""
"a354T000000cKHgQAM","","SC-000002412","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHjKQAW","2.01","","a314T000000Xm6sQAC","a354T000000cKHfQAM","LLC_BI__Loan_Facilities__r","","42542237460544478","LLC_BI__Loan__c","","","false","","false",""
