Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen__c,nFORCE__Break_Page_After__c,nFORCE__Break_Page_Before__c,nFORCE__Default_Editable__c,nFORCE__Default_Rendered__c,nFORCE__Disable_Print__c,nFORCE__Display_Order__c,nFORCE__Display_Toggle_Effect__c,nFORCE__Display_Toggle_Header__c,nFORCE__Display_Toggle_Link__c,nFORCE__Headless__c,nFORCE__Inactive__c,nFORCE__Instructions_Text__c,nFORCE__Is_Editable__c,nFORCE__Layout__c,nFORCE__Screen_View__c,nFORCE__Section_Resource__c,nFORCE__Widget__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nPortal__Portal_Header_Text__c,nFORCE__Conditional_Display_Criteria__c,nFORCE__Parent_Screen_Section__c,nPortal__Portal_Subheader_Text__c,nFORCE__Number_of_Columns__c,nFORCE__Are_Columns_Sortable__c,nFORCE__Auto_Save__c,nFORCE__Validation_Service__c,AutorabitExtId__c
a334T000000PHsAQAW,,Snapshot,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXlQAO,false,false,false,true,false,400.0,slide,true,false,false,false,,false,,a364T000000g5dOQAQ,ComparableScreenResource,a374T000000PE9xQAG,2837490238740921,LLC_BI__Loan__c,,,,,,false,false,,
a334T000000PHgLQAW,,Borrower Structure,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXlQAO,false,false,false,false,false,30.0,slide,true,false,false,false,,false,,a364T000000g5b7QAA,InvolvementsFScreenResource,,42018986838931372,LLC_BI__Loan__c,,,,,,false,false,,
a334T000000PHhYQAW,,Payment Structure,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXmQAO,false,false,false,false,false,12.0,slide,true,false,false,false,,false,,,MappedSObjectScreenResource,a374T000000PE9gQAG,42034844164707681,LLC_BI__Loan__c,,,,,,false,false,,
a334T000000PHpDQAW,,Borrower Structure Narrative,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXlQAO,false,false,false,false,false,45.0,slide,true,false,true,false,,false,,,SObjectScreenResource,a374T000000PE89QAG,42060561418885625,LLC_BI__Loan__c,,,,,,false,false,,
a334T000000PHqXQAW,,Borrower Structure Narrative,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXmQAO,false,false,false,false,false,45.0,slide,true,false,true,false,,false,,,SObjectScreenResource,a374T000000PE9SQAW,42068543699498313,LLC_BI__Loan__c,,,,,,false,false,,
a334T000000PHhnQAG,,Covenants,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXmQAO,false,false,false,false,false,110.0,slide,true,false,false,false,,false,,a364T000000g5cOQAQ,MappedSObjectHierarchyScreenResource,,42069630111897103,LLC_BI__Loan__c,,,,,,false,false,,
a334T000000PHpLQAW,,Loan Renewals,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXlQAO,false,false,false,false,false,20.0,slide,true,false,true,false,,false,,a364T000000g5bCQAQ,LoanRenewalFScreenResource,,42087152401218290,LLC_BI__Loan__c,,,,,,false,false,,
a334T000000PHhZQAW,,Loan Pricing,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXmQAO,false,false,false,false,false,10.0,slide,true,false,false,false,,false,,a364T000000g5cZQAQ,MappedSObjectScreenResource,,42102439261924558,LLC_BI__Loan__c,,,,,,false,false,,
a334T000000PHhhQAG,,Authorized Signers,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXmQAO,false,false,false,false,false,40.0,slide,true,false,true,false,,false,,a364T000000g5cQQAQ,SignersFScreenResource,,42122874770066645,LLC_BI__Loan__c,,,,,,false,false,,
a334T000000PHqfQAG,,Lender Recommendation,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a344T000000PEXmQAO,false,false,false,false,false,100.0,slide,true,false,false,false,,false,,,SObjectScreenResource,a374T000000PE9aQAG,42124067780456106,LLC_BI__Loan__c,,,,,,false,false,,
