Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Order__c,nFORCE__Screen_Section__c,nFORCE__Screen__c,nFORCE__Type__c,nFORCE__lookupKey__c,AutorabitExtId__c
a4U4T000000fz1xUAA,0054T000000ZYm5QAG,,a4U4T000000fz1x,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,2.0,a334T000000PHeZQAW,a344T000000PEdpQAG,,,
a4U4T000000fz1yUAA,0054T000000ZYm5QAG,,a4U4T000000fz1y,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,3.0,a334T000000PHeaQAG,a344T000000PEdpQAG,,,
a4U4T000000fz1zUAA,0054T000000ZYm5QAG,,a4U4T000000fz1z,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,4.0,a334T000000PHecQAG,a344T000000PEdpQAG,,,
a4U4T000000fz20UAA,0054T000000ZYm5QAG,,a4U4T000000fz20,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,5.0,a334T000000PHedQAG,a344T000000PEdpQAG,,,
a4U4T000000fz21UAA,0054T000000ZYm5QAG,,a4U4T000000fz21,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,1.0,a334T000000PHeZQAW,a344T000000PEdqQAG,,,
a4U4T000000fz22UAA,0054T000000ZYm5QAG,,a4U4T000000fz22,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,2.0,a334T000000PHeaQAG,a344T000000PEdqQAG,,,
a4U4T000000fz23UAA,0054T000000ZYm5QAG,,a4U4T000000fz23,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,3.0,a334T000000PHebQAG,a344T000000PEdqQAG,,,
a4U4T000000fz24UAA,0054T000000ZYm5QAG,,a4U4T000000fz24,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,4.0,a334T000000PHecQAG,a344T000000PEdqQAG,,,
a4U4T000000fz25UAA,0054T000000ZYm5QAG,,a4U4T000000fz25,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,5.0,a334T000000PHedQAG,a344T000000PEdqQAG,,,
a4U4T000000fz26UAA,0054T000000ZYm5QAG,,a4U4T000000fz26,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,6.0,a334T000000PHeeQAG,a344T000000PEdqQAG,,,
