Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen_Section__c,nFORCE__Display_Order__c,nFORCE__Field_Set_Key__c,nFORCE__Layout__c,nFORCE__Parent_Configuration__c,nFORCE__Parent_Relationship_Name__c,nFORCE__Section_Header__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nFORCE__Filter_Criteria__c,nFORCE__Limit__c,nFORCE__Offset_By_Limit__c,nFORCE__Sort_Criteria__c,nFORCE__Unique__c,AutorabitExtId__c
a354T000000cK5jQAE,,SC-000004807,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhqQAG,4.01,LLC_BI__Bundle_ID,,a354T000000cK5iQAE,LLC_BI__Underwriting_Bundle__r,,42031100481012488,LLC_BI__Underwriting_Bundle__c,,,false,,false,
a354T000000cK34QAE,,SC-000004641,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpBQAW,4.02,LLC_BI__Lien_Collateral_Description_SS,a314T000000XlzRQAS,a354T000000cK32QAE,LLC_BI__Liens__r,Liens,42031338125808992,LLC_BI__Lien__c,,,false,,false,
a354T000000cK5nQAE,,SC-000004811,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhpQAG,4.01,LLC_BI__Bundle_ID,,a354T000000cK5mQAE,LLC_BI__Underwriting_Bundle__r,,42098623112687455,LLC_BI__Underwriting_Bundle__c,,,false,,false,
a354T000000cK32QAE,,SC-000004639,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpBQAW,3.01,LLC_BI__Collateral_Description_SS,a314T000000XlzPQAS,a354T000000cK31QAE,LLC_BI__Collateral__r,Collateral,42121645560987094,LLC_BI__Collateral__c,,,false,,false,
a354T000000cK5gQAE,,SC-000004804,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhqQAG,1.01,,,,,,42138072063198299,LLC_BI__Loan__c,,,false,,false,
a354T000000cK3BQAU,,SC-000004648,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpQQAW,2.02,,a314T000000XlzYQAS,a354T000000cK39QAE,LLC_BI__Loan_Collateral_Aggregate__r,,42148069914257049,LLC_BI__Loan_Collateral_Aggregate__c,,,false,,false,
a354T000000cK5pQAE,,SC-000004813,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhoQAG,2.01,CM_Policy_Exception,a314T000000Xm1UQAS,a354T000000cK5oQAE,LLC_BI__Policy_Exceptions__r,,42160030431197247,LLC_BI__Policy_Exception__c,,,false,,false,
a354T000000cK38QAE,,SC-000004645,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHgMQAW,2.01,LLC_BI__Commercial_Credit_Memo,a314T000000XlzVQAS,a354T000000cK37QAE,LLC_BI__Fees__r,,42176209440111199,LLC_BI__Fee__c,,,false,,false,
a354T000000cK3OQAU,,SC-000004661,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpUQAW,4.01,LLC_BI__Bundle_ID,,a354T000000cK3NQAU,LLC_BI__Underwriting_Bundle__r,,42183364662651568,LLC_BI__Underwriting_Bundle__c,,,false,,false,
a354T000000cK36QAE,,SC-000004643,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpCQAW,2.02,Loan_Covenants_CM,a314T000000XlzTQAS,a354T000000cK35QAE,LLC_BI__Loan_Covenants__r,,42193186184162245,LLC_BI__Loan_Covenant__c,,0.0,false,,false,
a354T000000cK39QAE,,SC-000004646,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpQQAW,1.01,,a314T000000XlzWQAS,,,,42258462612715907,LLC_BI__Loan__c,,,false,,false,
a354T000000cK37QAE,,SC-000004644,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHgMQAW,1.01,,a314T000000XlzUQAS,,,,42264150152399375,LLC_BI__Loan__c,,,false,,false,
a354T000000cK5qQAE,,SC-000004814,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhZQAW,1.01,CM_Loan_Pricing_New,a314T000000Xm1VQAS,,,,42267787961800767,LLC_BI__Loan__c,,0.0,false,,false,
a354T000000cK3EQAU,,SC-000004651,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpRQAW,2.01,,a314T000000XlzbQAC,a354T000000cK3DQAU,LLC_BI__Loan_Collateral__r,,42274230371231368,LLC_BI__Loan_Collateral2__c,,,false,,false,
a354T000000cK3DQAU,,SC-000004650,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpRQAW,1.01,,a314T000000XlzaQAC,,,,42305755693476744,LLC_BI__Loan__c,,,false,,false,
a354T000000cK5bQAE,,SC-000004799,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhlQAG,3.01,LLC_BI__Loan_Collateral_Summary_SS,a314T000000Xm1OQAS,a354T000000cK5aQAE,LLC_BI__Loans__r,,42326404589361207,LLC_BI__Loan__c,,,false,,false,
a354T000000cK5dQAE,,SC-000004801,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhfQAG,2.01,,a314T000000Xm1QQAS,a354T000000cK5cQAE,LLC_BI__Loan_Collateral__r,,42335440602691260,LLC_BI__Loan_Collateral2__c,,,false,,false,
a354T000000cK85QAE,,SC-000004980,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHsAQAW,2.02,Snapshot_CP,a314T000000Xm2pQAC,a354T000000cK84QAE,LLC_BI__Loan_Collateral__r,,42370602270695512,LLC_BI__Loan_Collateral2__c,,0.0,false,,false,
a354T000000cK5SQAU,,SC-000004790,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhkQAG,4.01,LLC_BI__AC_Collateral_Description_SS,a314T000000Xm1FQAS,a354T000000cK5RQAU,LLC_BI__Account_Collateral__r,Ownership,42373329294506814,LLC_BI__Account_Collateral__c,,,false,,false,
a354T000000cK3FQAU,,SC-000004652,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpRQAW,3.01,,a314T000000XlzcQAC,a354T000000cK3EQAU,LLC_BI__Collateral__r,,42444076452261931,LLC_BI__Collateral__c,,,false,,false,
a354T000000cK5mQAE,,SC-000004810,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhpQAG,3.01,,,a354T000000cK5lQAE,LLC_BI__Account__r,,42444777450700144,Account,,,false,,false,
a354T000000cK5iQAE,,SC-000004806,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhqQAG,3.01,,,a354T000000cK5hQAE,LLC_BI__Account__r,,42481387323690522,Account,,,false,,false,
a354T000000cK5WQAU,,SC-000004794,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhVQAW,1.01,,a314T000000Xm1JQAS,,,,42514354081754781,LLC_BI__Loan__c,,,false,,false,
a354T000000cK31QAE,,SC-000004638,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpBQAW,2.01,,a314T000000XlzOQAS,a354T000000cK30QAE,LLC_BI__Loan_Collateral__r,,42517024997590997,LLC_BI__Loan_Collateral2__c,,,false,,false,
a354T000000cK3lQAE,,SC-000004685,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpfQAG,1.01,CM_Loan_Pricing_New,a314T000000XlzwQAC,,,,42523435810655848,LLC_BI__Loan__c,,0.0,false,,false,
a354T000000cK3KQAU,,SC-000004657,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpTQAW,4.01,LLC_BI__Bundle_ID,,a354T000000cK3JQAU,LLC_BI__Underwriting_Bundle__r,,42576765379560976,LLC_BI__Underwriting_Bundle__c,,,false,,false,
a354T000000cK3IQAU,,SC-000004655,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpTQAW,2.01,LLC_BI__Entity_ID,,a354T000000cK3HQAU,LLC_BI__Legal_Entities__r,,42598108959429150,LLC_BI__Legal_Entities__c,,,false,,false,
a354T000000cK5UQAU,,SC-000004792,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhnQAG,1.01,,a314T000000Xm1HQAS,,,,42624055779429090,LLC_BI__Loan__c,,0.0,false,,false,
a354T000000cK3GQAU,,SC-000004653,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpRQAW,4.01,LLC_BI__AC_Collateral_Description_SS,a314T000000XlzdQAC,a354T000000cK3FQAU,LLC_BI__Account_Collateral__r,,42632656182955669,LLC_BI__Account_Collateral__c,,,false,,false,
a354T000000cK5ZQAU,,SC-000004797,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhlQAG,2.01,LLC_BI__LC_Collateral_Summary_SS,a314T000000Xm1MQAS,a354T000000cK5YQAU,LLC_BI__Loan_Collateral__r,,42640919254302378,LLC_BI__Loan_Collateral2__c,,,false,,false,
a354T000000cK3MQAU,,SC-000004659,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpUQAW,2.01,LLC_BI__Global_Entity_Fields,,a354T000000cK3LQAU,LLC_BI__Legal_Entities__r,,42643306167785067,LLC_BI__Legal_Entities__c,,,false,,false,
a354T000000cK3QQAU,,SC-000004663,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpVQAW,2.01,CM_Policy_Exception,a314T000000XlzfQAC,a354T000000cK3PQAU,LLC_BI__Policy_Exceptions__r,,42648291401391680,LLC_BI__Policy_Exception__c,,,false,,false,
a354T000000cK3HQAU,,SC-000004654,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHpTQAW,1.01,,,,,,42673187652591316,LLC_BI__Loan__c,,,false,,false,
a354T000000cK5RQAU,,SC-000004789,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,2019-09-09T15:17:11.000Z,0054T000000ZYm5QAG,,a334T000000PHhkQAG,3.01,LLC_BI__Collateral_Description_SS,a314T000000Xm1EQAS,a354T000000cK5QQAU,LLC_BI__Collateral__r,Collateral,42674124103929407,LLC_BI__Collateral__c,,,false,,false,
