Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LLC_BI__EmailTemplate__c,LLC_BI__Email_Template_Purpose__c,LLC_BI__Institution__c,LLC_BI__lookupKey__c
"a4o6g0000004tMRAAY","0056g000004migcAAA","","ETI-000000054","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVv","Account Document Assigned - Bulk","a4q6g000000ESd1AAG",""
"a4o6g0000004tMSAAY","0056g000004migcAAA","","ETI-000000055","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVwEAM","Account Document Rejected","a4q6g000000ESd1AAG",""
"a4o6g0000004tMTAAY","0056g000004migcAAA","","ETI-000000056","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVx","Borrower Added (Existing)","a4q6g000000ESd1AAG",""
"a4o6g0000004tMUAAY","0056g000004migcAAA","","ETI-000000057","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVy","Borrower Added (New)","a4q6g000000ESd1AAG",""
"a4o6g0000004tMVAAY","0056g000004migcAAA","","ETI-000000058","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVz","Co-Owner Added (Existing)","a4q6g000000ESd1AAG",""
"a4o6g0000004tMWAAY","0056g000004migcAAA","","ETI-000000059","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCW0","Co-Owner Added (New)","a4q6g000000ESd1AAG",""
"a4o6g0000004tMXAAY","0056g000004migcAAA","","ETI-000000060","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCW2","Deposit Documents Assigned","a4q6g000000ESd1AAG",""
"a4o6g0000004tMYAAY","0056g000004migcAAA","","ETI-000000061","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCW1","Deposit Document Rejected","a4q6g000000ESd1AAG",""
"a4o6g0000004tMZAAY","0056g000004migcAAA","","ETI-000000062","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVh","Guarantor Added (Existing)","a4q6g000000ESd1AAG",""
"a4o6g0000004tMaAAI","0056g000004migcAAA","","ETI-000000063","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVi","Guarantor Added (New)","a4q6g000000ESd1AAG",""
"a4o6g0000004tMbAAI","0056g000004migcAAA","","ETI-000000064","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVk","Loan Document Assigned Email - Bulk","a4q6g000000ESd1AAG",""
"a4o6g0000004tMcAAI","0056g000004migcAAA","","ETI-000000065","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCW3","Loan Document Rejected Email","a4q6g000000ESd1AAG",""
"a4o6g0000004tMdAAI","0056g000004migcAAA","","ETI-000000066","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVr","Save and Continue","a4q6g000000ESd1AAG",""
"a4o6g0000004tMrAAI","0056g000004migcAAA","","ETI-000000080","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","00X6g000001iCVa","","a4q6g000000ESd1AAG","dth56htrshrh5"
