Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LLC_BI__Product_Type__c,LLC_BI__Is_Booked__c,LLC_BI__Stage__c,LLC_BI__Stage_and_Status__c,LLC_BI__Status__c,LLC_BI__lookupKey__c,LLC_BI__Is_Closed__c,LLC_BI__External_Stage_Order__c,LLC_BI__External_Stage__c,LLC_BI__Is_Excluded_From_Stage_Duration__c,Product_Line_Name__c,LLC_BI__Is_Ready_To_Transmit__c,LLC_BI__Activate__c,LLC_BI__Is_Covenant__c
"a1b6g000000dNL4AAM","","P-0000000156","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","true","Complete","","Withdrawn","","false","3.0","Closing","false","","false","false","false"
"a1b6g000000dNL5AAM","","P-0000000158","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","true","Complete","","Lost","","false","3.0","Closing","false","","false","false","false"
"a1b6g000000dNL6AAM","","P-0000000159","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","true","Complete","","Declined","","false","3.0","Closing","false","","false","false","false"
"a1b6g000000dNL7AAM","","P-0000000160","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","true","Closed Funded","","Charge-Off","","false","3.0","Closing","false","","false","false","false"
"a1b6g000000dNL8AAM","","P-0000000161","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","true","Closed Funded","","Paid Out","","false","3.0","Closing","false","","false","false","false"
"a1b6g000000dNLAAA2","","P-0000000172","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Qualification / Application","","Open","CP-00011","false","1.0","Application","false","","false","false","false"
"a1b6g000000dNLDAA2","","P-0000000188","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Underwriting","","Open","CP-00027","false","1.0","Application","false","","false","false","false"
"a1b6g000000dNLGAA2","","P-0000000204","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Proposal","","Open","CP-00043","false","1.0","Application","false","","false","false","false"
"a1b6g000000dNLJAA2","","P-0000000220","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Approval / Loan Committee","","Open","CP-00059","false","1.0","Application","false","","false","false","false"
"a1b6g000000dNLMAA2","","P-0000000236","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Processing","","Open","CP-00075","false","2.0","Processing","false","","false","false","false"
"a1b6g000000dNLPAA2","","P-0000000252","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Doc Prep","","Open","CP-00091","false","2.0","Processing","false","","false","false","false"
"a1b6g000000dNLSAA2","","P-0000000268","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Doc Review","","Open","CP-00107","false","2.0","Processing","false","","false","false","false"
"a1b6g000000dNLVAA2","","P-0000000284","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Closing","","Open","CP-00123","false","3.0","Closing","false","","false","false","false"
"a1b6g000000dNLYAA2","","P-0000000300","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","true","Booked","","Open","CP-00139","false","3.0","Closing","false","","false","false","false"
"a1b6g000000dNLbAAM","","P-0000000316","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Complete","","Open","CP-00155","false","3.0","Closing","false","","false","false","false"
"a1b6g000000dNLdAAM","","P-0000000322","2020-03-06T13:52:32.000Z","0056g000004migcAAA","2020-03-06T13:52:32.000Z","0056g000004migcAAA","","a0a6g0000016C5RAAU","false","Hold","","Open","CP-00011123123123123123","false","1.0","Application","false","","false","false","false"
