Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen__c,nFORCE__Break_Page_After__c,nFORCE__Break_Page_Before__c,nFORCE__Default_Editable__c,nFORCE__Default_Rendered__c,nFORCE__Disable_Print__c,nFORCE__Display_Order__c,nFORCE__Display_Toggle_Effect__c,nFORCE__Display_Toggle_Header__c,nFORCE__Display_Toggle_Link__c,nFORCE__Headless__c,nFORCE__Inactive__c,nFORCE__Instructions_Text__c,nFORCE__Is_Editable__c,nFORCE__Layout__c,nFORCE__Screen_View__c,nFORCE__Section_Resource__c,nFORCE__Widget__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nPortal__Portal_Header_Text__c,nFORCE__Conditional_Display_Criteria__c,nFORCE__Parent_Screen_Section__c,nPortal__Portal_Subheader_Text__c,nFORCE__Number_of_Columns__c,nFORCE__Are_Columns_Sortable__c,nFORCE__Auto_Save__c,nFORCE__Validation_Service__c,AutorabitExtId__c
"a334T000000PHeZQAW","","Rate Structure","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","11.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","a374T000000PE6YQAW","42943796553186419","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHeaQAG","","Payment Structure","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","12.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","a374T000000PE6ZQAW","42311858759476803","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHebQAG","","Loan Renewals","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","20.0","slide","true","false","false","false","","false","","a364T000000g5ZIQAY","LoanRenewalFScreenResource","","42053707357861554","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHecQAG","","Fees","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","27.0","slide","true","false","false","false","","false","","a364T000000g5ZJQAY","MappedSObjectHierarchyScreenResource","","42233364413372724","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHedQAG","","Borrower Structure","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","a364T000000g5ZKQAY","InvolvementsFScreenResource","","42372788868935423","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHeeQAG","","Authorized Signers","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","40.0","slide","true","false","false","false","","false","","a364T000000g5ZLQAY","SignersFScreenResource","","42783187373770615","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHefQAG","","Related Exposure","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","46.0","slide","true","false","false","false","","false","","a364T000000g5ZMQAY","RelatedLoanListFScreenResource","","42418443255702030","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHegQAG","","Related Deposits","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","47.0","slide","true","false","false","false","","false","","a364T000000g5ZNQAY","DepositFScreenResource","","42207141477645071","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHehQAG","","Collateral Summary","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","56.0","slide","true","false","false","false","","false","","a364T000000g5ZOQAY","MappedSObjectHierarchyScreenResource","","42704211310653984","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHeiQAG","","Collateral Description","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","57.0","slide","true","false","false","false","","false","","a364T000000g5ZPQAY","MappedSObjectHierarchyScreenResource","","42008986755701313","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHejQAG","","Policy Exceptions","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","85.0","slide","true","false","false","false","","false","","a364T000000g5ZQQAY","MappedSObjectHierarchyScreenResource","","4285148483090992Q","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHekQAG","","Approval History","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","120.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a374T000000PE6iQAG","a1D4T000000PP3kUAG","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHelQAG","","Covenants","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","110.0","slide","true","false","false","false","","false","","a364T000000g5ZRQAY","MappedSObjectHierarchyScreenResource","","4211635552508704Q","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHhaQAG","","Rate Structure","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXnQAO","false","false","false","false","false","11.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","a374T000000PE9hQAG","42637524750402686","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHhbQAG","","Payment Structure","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXnQAO","false","false","false","false","false","12.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","a374T000000PE9iQAG","42093754004798120","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHhcQAG","","Fees","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXnQAO","false","false","false","false","false","27.0","slide","true","false","false","false","","false","","a364T000000g5ccQAA","MappedSObjectHierarchyScreenResource","","42393400613710064","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHhdQAG","","Loan Pricing","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXnQAO","false","false","false","false","false","1.0","slide","true","false","false","false","","false","","a364T000000g5cmQAA","MappedSObjectScreenResource","","42189164592406035","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHheQAG","","Borrower Structure","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXnQAO","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","a364T000000g5cdQAA","InvolvementsFScreenResource","","42267458886562934","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHneQAG","","Borrower Structure Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","45.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a374T000000PE6aQAG","42406941760544609","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHnfQAG","","Related Exposure Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","48.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a374T000000PE6bQAG","42468036154623486","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHngQAG","","Loan Collateral Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","58.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a374T000000PE6cQAG","a1D4T000000PP3eUAG","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHnhQAG","","Background Analysis","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","60.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a374T000000PE6dQAG","a1D4T000000PP3fUAG","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHniQAG","","Financial Analysis","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","70.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a374T000000PE6eQAG","a1D4T000000PP3gUAG","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHnjQAG","","Policy/Underwriting Exceptions","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","90.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a374T000000PE6fQAG","a1D4T000000PP3hUAG","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHnkQAG","","Lender Recommendation","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","100.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a374T000000PE6gQAG","a1D4T000000PP3iUAG","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHnlQAG","","Loan Covenants Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","115.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a374T000000PE6hQAG","a1D4T000000PP3jUAG","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHovQAG","","Spreads Appendix","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","200.0","slide","true","false","false","false","","false","","a364T000000g5alQAA","MappedSObjectHierarchyScreenResource","a374T000000PE86QAG","a1D4T000000PP3lUAG","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHpAQAW","","Loan Pricing","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXkQAO","false","false","false","false","false","1.0","slide","true","false","false","false","","false","","a364T000000g5b4QAA","MappedSObjectScreenResource","","","LLC_BI__Loan__c","","","","","","false","false","",""
"a334T000000PHqiQAG","","Loan Renewals","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a344T000000PEXnQAO","false","false","false","false","false","20.0","slide","true","false","false","false","","false","","a364T000000g5cbQAA","LoanRenewalFScreenResource","","42304271821431232","LLC_BI__Loan__c","","","","","","false","false","",""
