Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Screen_Section__c,nFORCE__Display_Order__c,nFORCE__Field_Set_Key__c,nFORCE__Layout__c,nFORCE__Parent_Configuration__c,nFORCE__Parent_Relationship_Name__c,nFORCE__Section_Header__c,nFORCE__lookupKey__c,nFORCE__sObject_Type__c,nFORCE__Filter_Criteria__c,nFORCE__Limit__c,nFORCE__Offset_By_Limit__c,nFORCE__Sort_Criteria__c,nFORCE__Unique__c,AutorabitExtId__c
"a354T000000cJzeQAE","","SC-000003909","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHecQAG","1.01","","a314T000000XlwYQAS","","","","42106868247569467","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cJzfQAE","","SC-000003910","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHecQAG","2.02","CM_Fees_L","a314T000000XlwZQAS","a354T000000cJzeQAE","LLC_BI__Fees__r","","42301354283233507","LLC_BI__Fee__c","","0.0","false","","false",""
"a354T000000cJzgQAE","","SC-000003911","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHehQAG","1.01","","a314T000000XlwaQAC","","","","42549199664798023","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cJzhQAE","","SC-000003912","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHehQAG","2.01","LLC_BI__LC_Collateral_Summary_SS","a314T000000XlwbQAC","a354T000000cJzgQAE","LLC_BI__Loan_Collateral__r","","42071302183268713","LLC_BI__Loan_Collateral2__c","","0.0","false","","false",""
"a354T000000cJziQAE","","SC-000003913","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHehQAG","2.02","","a314T000000XlwcQAC","a354T000000cJzhQAE","LLC_BI__Loan_Collateral_Aggregate__r","","42968637791939853","LLC_BI__Loan_Collateral_Aggregate__c","","0.0","false","","false",""
"a354T000000cJzjQAE","","SC-000003914","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHehQAG","3.01","LLC_BI__Loan_Collateral_Summary_SS","a314T000000XlwdQAC","a354T000000cJziQAE","LLC_BI__Loans__r","","42233402258670604","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cJzkQAE","","SC-000003915","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHeiQAG","1.01","","a314T000000XlweQAC","","","","42054659566437154","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cJzlQAE","","SC-000003916","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHeiQAG","2.02","","a314T000000XlwfQAC","a354T000000cJzkQAE","LLC_BI__Loan_Collateral__r","","42883620000398323","LLC_BI__Loan_Collateral2__c","","0.0","false","","false",""
"a354T000000cJzmQAE","","SC-000003917","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHeiQAG","3.02","LLC_BI__Collateral_Description_SS","a314T000000XlwgQAC","a354T000000cJzlQAE","LLC_BI__Collateral__r","Collateral","42704108673861895","LLC_BI__Collateral__c","","0.0","false","","false",""
"a354T000000cJznQAE","","SC-000003918","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHeiQAG","4.02","LLC_BI__AC_Collateral_Description_SS","a314T000000XlwhQAC","a354T000000cJzmQAE","LLC_BI__Account_Collateral__r","Ownership","42953559570760621","LLC_BI__Account_Collateral__c","","0.0","false","","false",""
"a354T000000cJzoQAE","","SC-000003919","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHeiQAG","4.03","LLC_BI__Lien_Collateral_Description_SS","a314T000000XlwiQAC","a354T000000cJzmQAE","LLC_BI__Liens__r","Liens","42334777759985943","LLC_BI__Lien__c","","0.0","false","","false",""
"a354T000000cJzpQAE","","SC-000003924","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHejQAG","1.01","","a314T000000XlwjQAC","","","","42981012387441196","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cJzqQAE","","SC-000003925","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHejQAG","2.02","CM_Policy_Exception","a314T000000XlwkQAC","a354T000000cJzpQAE","LLC_BI__Policy_Exceptions__r","","42877698670933999","LLC_BI__Policy_Exception__c","","0.0","false","","false",""
"a354T000000cJzrQAE","","SC-000003935","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHelQAG","1.01","","a314T000000XlwlQAC","","","","42231038539160353","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cJzsQAE","","SC-000003936","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHelQAG","2.02","Loan_Covenants_CM","a314T000000XlwmQAC","a354T000000cJzrQAE","LLC_BI__Loan_Covenants__r","","42438862697940962","LLC_BI__Loan_Covenant__c","","0.0","false","","false",""
"a354T000000cK2LQAU","","SC-000004403","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHovQAG","1.01","","","","","","a1V4T000000QDLcUAO","LLC_BI__Loan__c","","","false","","false",""
"a354T000000cK2MQAU","","SC-000004404","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHovQAG","2.01","LLC_BI__Entity_ID","","a354T000000cK2LQAU","LLC_BI__Legal_Entities__r","","a1V4T000000QDLdUAO","LLC_BI__Legal_Entities__c","","","false","","false",""
"a354T000000cK2NQAU","","SC-000004405","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHovQAG","3.01","","","a354T000000cK2MQAU","LLC_BI__Account__r","","a1V4T000000QDLeUAO","Account","","","false","","false",""
"a354T000000cK2OQAU","","SC-000004406","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHovQAG","4.01","LLC_BI__Bundle_ID","","a354T000000cK2NQAU","LLC_BI__Underwriting_Bundle__r","","a1V4T000000QDLfUAO","LLC_BI__Underwriting_Bundle__c","","","false","","false",""
"a354T000000cK2zQAE","","SC-000004595","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHpAQAW","1.01","CM_Loan_Pricing_New","a314T000000XlzMQAS","","","","42802912415139197","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cK5tQAE","","SC-000004823","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHhcQAG","1.01","","a314T000000Xm1XQAS","","","","42739730362479812","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cK5uQAE","","SC-000004824","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHhcQAG","2.02","CM_Fees_L","a314T000000Xm1YQAS","a354T000000cK5tQAE","LLC_BI__Fees__r","","42047894814891298","LLC_BI__Fee__c","","0.0","false","","false",""
"a354T000000cK5vQAE","","SC-000004825","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqoQAG","1.01","","a314T000000Xm1ZQAS","","","","42577613243365873","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cK5wQAE","","SC-000004826","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqoQAG","2.01","LLC_BI__LC_Collateral_Summary_SS","a314T000000Xm1aQAC","a354T000000cK5vQAE","LLC_BI__Loan_Collateral__r","","42021777564205144","LLC_BI__Loan_Collateral2__c","","0.0","false","","false",""
"a354T000000cK5xQAE","","SC-000004827","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqoQAG","2.02","","a314T000000Xm1bQAC","a354T000000cK5wQAE","LLC_BI__Loan_Collateral_Aggregate__r","","42501097016778159","LLC_BI__Loan_Collateral_Aggregate__c","","0.0","false","","false",""
"a354T000000cK5yQAE","","SC-000004828","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqoQAG","3.01","LLC_BI__Loan_Collateral_Summary_SS","a314T000000Xm1cQAC","a354T000000cK5xQAE","LLC_BI__Loans__r","","42304963557789838","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cK5zQAE","","SC-000004829","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqpQAG","1.01","","a314T000000Xm1dQAC","","","","42386021420343209","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cK60QAE","","SC-000004830","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqpQAG","2.02","","a314T000000Xm1eQAC","a354T000000cK5zQAE","LLC_BI__Loan_Collateral__r","","42369311878186205","LLC_BI__Loan_Collateral2__c","","0.0","false","","false",""
"a354T000000cK61QAE","","SC-000004831","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqpQAG","3.02","LLC_BI__Collateral_Description_SS","a314T000000Xm1fQAC","a354T000000cK60QAE","LLC_BI__Collateral__r","Collateral","42575034712764933","LLC_BI__Collateral__c","","0.0","false","","false",""
"a354T000000cK62QAE","","SC-000004832","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqpQAG","4.02","LLC_BI__AC_Collateral_Description_SS","a314T000000Xm1gQAC","a354T000000cK61QAE","LLC_BI__Account_Collateral__r","Ownership","42930550682021116","LLC_BI__Account_Collateral__c","","0.0","false","","false",""
"a354T000000cK63QAE","","SC-000004833","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqpQAG","4.03","LLC_BI__Lien_Collateral_Description_SS","a314T000000Xm1hQAC","a354T000000cK61QAE","LLC_BI__Liens__r","Liens","42490944945638087","LLC_BI__Lien__c","","0.0","false","","false",""
"a354T000000cK64QAE","","SC-000004834","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqtQAG","1.01","","a314T000000Xm1iQAC","","","","42448615955528180","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cK65QAE","","SC-000004835","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqtQAG","2.02","CM_Policy_Exception","a314T000000Xm1jQAC","a354T000000cK64QAE","LLC_BI__Policy_Exceptions__r","","42524694565885280","LLC_BI__Policy_Exception__c","","0.0","false","","false",""
"a354T000000cK66QAE","","SC-000004836","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqwQAG","1.01","","a314T000000Xm1kQAC","","","","42376355422686836","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cK67QAE","","SC-000004837","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqwQAG","2.02","Loan_Covenants_CM","a314T000000Xm1lQAC","a354T000000cK66QAE","LLC_BI__Loan_Covenants__r","","42178369445062173","LLC_BI__Loan_Covenant__c","","0.0","false","","false",""
"a354T000000cK68QAE","","SC-000004838","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqzQAG","1.01","","","","","","42288075144998019","LLC_BI__Loan__c","","","false","","false",""
"a354T000000cK69QAE","","SC-000004839","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqzQAG","2.01","LLC_BI__Entity_ID","","a354T000000cK68QAE","LLC_BI__Legal_Entities__r","","42748962760892052","LLC_BI__Legal_Entities__c","","","false","","false",""
"a354T000000cK6AQAU","","SC-000004840","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqzQAG","3.01","","","a354T000000cK69QAE","LLC_BI__Account__r","","42219500972462594","Account","","","false","","false",""
"a354T000000cK6BQAU","","SC-000004841","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHqzQAG","4.01","LLC_BI__Bundle_ID","","a354T000000cK6AQAU","LLC_BI__Underwriting_Bundle__r","","42378012020048378","LLC_BI__Underwriting_Bundle__c","","","false","","false",""
"a354T000000cK6CQAU","","SC-000004842","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHhdQAG","1.01","CM_Loan_Pricing_New","a314T000000Xm1mQAC","","","","42023230842456195","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cK6PQAU","","SC-000004855","2019-09-09T15:17:11.000Z","0054T0000012R1IQAU","2019-09-09T15:17:11.000Z","0054T0000012R1IQAU","","a334T000000PHrQQAW","1.01","","a314T000000Xm1qQAC","","","","42781812160294981","LLC_BI__Loan__c","","","false","","false",""
"a354T000000cK6QQAU","","SC-000004856","2019-09-09T15:17:11.000Z","0054T0000012R1IQAU","2019-09-09T15:17:11.000Z","0054T0000012R1IQAU","","a334T000000PHrQQAW","2.01","LLC_BI__Commercial_Credit_Memo","a314T000000Xm1rQAC","a354T000000cK6PQAU","LLC_BI__Risk_Rating_Review__r","","42708050128943595","LLC_BI__Annual_Review__c","","","false","","false",""
"a354T000000cK6eQAE","","SC-000004877","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrcQAG","1.01","","","","","","42393907821129618","LLC_BI__Loan__c","","","false","","false",""
"a354T000000cK6fQAE","","SC-000004878","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrcQAG","2.01","LLC_BI__Global_Entity_Fields","","a354T000000cK6eQAE","LLC_BI__Legal_Entities__r","","42130331089965640","LLC_BI__Legal_Entities__c","","","false","","false",""
"a354T000000cK6gQAE","","SC-000004879","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrcQAG","3.01","","","a354T000000cK6fQAE","LLC_BI__Account__r","","42432495909255940","Account","","","false","","false",""
"a354T000000cK6hQAE","","SC-000004880","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrcQAG","4.01","LLC_BI__Bundle_ID","","a354T000000cK6gQAE","LLC_BI__Underwriting_Bundle__r","","42860617780524436","LLC_BI__Underwriting_Bundle__c","","","false","","false",""
"a354T000000cK6iQAE","","SC-000004881","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrdQAG","1.01","","","","","","42109384171904249","LLC_BI__Loan__c","","","false","","false",""
"a354T000000cK6jQAE","","SC-000004882","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrdQAG","2.01","LLC_BI__Global_Entity_Fields","","a354T000000cK6iQAE","LLC_BI__Legal_Entities__r","","42209063317001464","LLC_BI__Legal_Entities__c","","","false","","false",""
"a354T000000cK6kQAE","","SC-000004883","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrdQAG","3.01","","","a354T000000cK6jQAE","LLC_BI__Account__r","","42545152868973445","Account","","","false","","false",""
"a354T000000cK6lQAE","","SC-000004884","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrdQAG","4.01","LLC_BI__Bundle_ID","","a354T000000cK6kQAE","LLC_BI__Underwriting_Bundle__r","","42131911026547488","LLC_BI__Underwriting_Bundle__c","","","false","","false",""
"a354T000000cK6nQAE","","SC-000004892","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrfQAG","1.01","Snapshot_Loan","a314T000000Xm1xQAC","","","","42228318796557174","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000cK6oQAE","","SC-000004893","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrfQAG","2.02","Snapshot_CP","a314T000000Xm1yQAC","a354T000000cK6nQAE","LLC_BI__Loan_Collateral__r","","42617847517744718","LLC_BI__Loan_Collateral2__c","","0.0","false","","false",""
"a354T000000cK7UQAU","","SC-000004943","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrfQAG","2.03","Snapshot_Fee","a314T000000Xm2QQAS","a354T000000cK6nQAE","LLC_BI__Fees__r","","42948312345285473","LLC_BI__Fee__c","","0.0","false","","false",""
"a354T000000cK7VQAU","","SC-000004944","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","a334T000000PHrfQAG","2.04","EI_Snapshot","a314T000000Xm2RQAS","a354T000000cK6nQAE","LLC_BI__Legal_Entities__r","","42670907463106306","LLC_BI__Legal_Entities__c","","0.0","false","","false",""
"a354T000000crEoQAI","","SC-000005340","2019-09-18T14:48:46.000Z","0054T000000ZYm5QAG","2019-09-18T14:48:46.000Z","0054T000000ZYm5QAG","","a334T000000PNwAQAW","1.01","","a314T000000Y40pQAC","","","","42880490895206602","LLC_BI__Loan__c","","0.0","false","","false",""
"a354T000000crEpQAI","","SC-000005341","2019-09-18T14:48:46.000Z","0054T000000ZYm5QAG","2019-09-18T14:48:46.000Z","0054T000000ZYm5QAG","","a334T000000PNwAQAW","2.02","CM_Fees_L","a314T000000Y40qQAC","a354T000000crEoQAI","LLC_BI__Fees__r","","42021992122247787","LLC_BI__Fee__c","","0.0","false","","false",""
