Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Data__c,nFORCE__Icon__c,nFORCE__Is_Knockout__c,nFORCE__Is_Narrative__c,nFORCE__Parameters__c,nFORCE__Script_Resource_Eight__c,nFORCE__Script_Resource_Five__c,nFORCE__Script_Resource_Four__c,nFORCE__Script_Resource_Nine__c,nFORCE__Script_Resource_One__c,nFORCE__Script_Resource_Seven__c,nFORCE__Script_Resource_Six__c,nFORCE__Script_Resource_Ten__c,nFORCE__Script_Resource_Three__c,nFORCE__Script_Resource_Two__c,nFORCE__Stylesheet_Resource_Eight__c,nFORCE__Stylesheet_Resource_Five__c,nFORCE__Stylesheet_Resource_Four__c,nFORCE__Stylesheet_Resource_Nine__c,nFORCE__Stylesheet_Resource_One__c,nFORCE__Stylesheet_Resource_Seven__c,nFORCE__Stylesheet_Resource_Six__c,nFORCE__Stylesheet_Resource_Ten__c,nFORCE__Stylesheet_Resource_Three__c,nFORCE__Stylesheet_Resource_Two__c,nFORCE__Type__c,nFORCE__View__c,nFORCE__lookupKey__c,nFORCE__Is_Angular__c,nFORCE__Script_Resource_Eleven__c,nFORCE__Script_Resource_Fifteen__c,nFORCE__Script_Resource_Fourteen__c,nFORCE__Script_Resource_Thirteen__c,nFORCE__Script_Resource_Twelve__c,AutorabitExtId__c
"a374T000000PE6YQAW","0054T000000ZYm5QAG","","LifeCycle.Rate_Structure_Summary","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","debug:true;group:loan;route:rate-structure","","","","","LLC_BI__rate_structure_summary_app","","","","nFORCE__screen_models","LLC_BI__rate_structure_summary_viewModel","","","","","LLC_BI__payment_calculator_css","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;rate_structure_summary&#39;}&quot;&gt;&lt;/div&gt;","42544946110658965","","","","","","",""
"a374T000000PE6ZQAW","0054T000000ZYm5QAG","","LifeCycle.Payment_Structure_Summary","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","debug:true;group:loan;route:payment-structure","","","","","LLC_BI__payment_structure_summary_app","","","","nFORCE__screen_models","LLC_BI__payment_structure_summary_viewModel","","","","","LLC_BI__payment_calculator_css","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;payment_structure_summary&#39;}&quot;&gt;&lt;/div&gt;","42304092219836999","","","","","","",""
"a374T000000PE6aQAG","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","<p style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px; color: rgb(34, 34, 34);"">In this section, I can have static narrative if there are components of my existing credit memo that never change.</p>  <ul><li>I can also customize the format of the text within this field.</li><li>Using some useful editing components which have been incorporated for <b>your convenience</b>.</li><li>Things like FONT, <span style=""font-size: 24pt;"">SIZE</span>, <i>ITALICS</i>, <span style=""color: rgb(197, 1, 206);"">COLOR</span>, and <u>UNDERLINING</u> can all be accomplished.</li></ul>  <p style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px; color: rgb(34, 34, 34);""> </p>  <p style=""font-family: Arial, Helvetica, sans-serif; font-size: 12px; color: rgb(34, 34, 34);"">We can also insert charts and photos to accommodate details that may be stored in other components.   </p>","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42511785946745039","","","","","","",""
"a374T000000PE6bQAG","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42511586595742996","","","","","","",""
"a374T000000PE6cQAG","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","a1G4T000000PHDlUAO","","","","","","",""
"a374T000000PE6dQAG","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","a1G4T000000PHDoUAO","","","","","","",""
"a374T000000PE6eQAG","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","a1G4T000000PHDpUAO","","","","","","",""
"a374T000000PE6fQAG","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","a1G4T000000PHDqUAO","","","","","","",""
"a374T000000PE6gQAG","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","<p style="""">A lender or anyone in the credit process with the need to do so can add their commentary/recommendations in this section with formatting options to help make the text as meaningful as they would like.</p>  <p style=""""> </p>  <p style=""""><span style=""color: rgb(0, 96, 0); font-family: impact,charcoal,sans-serif; font-size: 24pt;"">We need to do this deal!</span></p>","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","a1G4T000000PHDrUAO","","","","","","",""
"a374T000000PE6hQAG","0054T000000ZYm5QAG","","LifeCycle.KO_Narrative","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","","","","","","","","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","a1G4T000000PHDmUAO","","","","","","",""
